cluster_id_1,cluster_id_2,distance_miles
5,41,162.1705781732905
5,95,118.10457279863607
5,43,149.27103409203212
5,11,180.12466025731413
5,50,59.72804866946018
5,87,176.90017184016608
5,49,204.15799349295136
5,33,125.36418108951706
5,6,149.31731964706825
5,93,127.0077028252342
5,35,108.21704243925826
5,30,100.4403649911126
5,68,87.33551572620746
5,76,80.98089499790338
5,86,125.78221098696385
5,58,214.71579061898157
5,81,53.40310879418188
5,88,29.246692533124275
5,21,46.12202293636661
5,97,165.11693531591328
5,55,124.74183718475483
5,23,145.07258409570667
5,39,185.83293777655442
5,80,28.526638681082577
5,83,68.07177426909766
5,51,187.15938958588353
5,8,166.76906199633382
5,24,129.5865591438355
5,61,235.09672608585305
5,69,101.22658155809756
5,37,154.5096103637306
5,9,92.23917408161911
5,66,90.18951864937114
5,26,116.42894989872507
5,98,111.92643403621219
5,25,231.4387006257736
5,44,229.81843702614168
5,73,122.45341373432757
5,13,199.01452744202476
5,63,84.21430193039625
5,75,214.62198597982407
5,45,98.39375675115906
5,70,226.02041428485282
5,36,161.02259712711236
5,72,34.51001164158693
5,65,181.05906868156487
5,47,96.13524875154933
5,74,182.57380640029209
5,67,214.47260394588946
5,10,220.36916330492843
5,20,269.70042896745986
5,96,164.63245231145893
5,89,173.331860323631
18,32,113.87188752812999
18,92,160.19006946200403
18,40,115.29242034257716
18,60,207.204461507897
18,56,96.83153042376644
18,79,76.4814133674245
18,77,190.32996692382005
18,91,114.68795524556128
18,54,171.61401166214497
18,19,98.27582145992037
18,59,37.70961473005924
18,29,80.58858810717393
18,34,163.05403382073268
18,62,80.4418366245397
18,42,113.6947211137816
18,31,54.55246655279509
18,90,184.67486030569333
18,46,83.98145322905879
18,85,180.43363359128605
18,53,49.1759116304421
18,99,174.88310621877636
18,57,186.79909198569916
18,71,208.9976879734158
18,94,94.04673868227971
18,78,21.01218537243252
18,52,25.053328582739557
18,28,96.35625832029864
18,22,143.20054516715362
18,84,132.82673685057236
18,82,187.0438547311202
18,64,136.95880581135256
18,27,123.22752613749417
18,48,164.5754035439753
18,38,78.76142585525224
18,41,130.5078821739842
18,95,86.15519946335243
18,43,60.45308374472072
18,50,87.34113818507383
18,87,87.90930487911785
18,49,157.227607585922
18,33,56.95607933335233
18,93,74.04965490700893
18,35,118.87223532524739
18,30,82.42365968766977
18,68,70.13943260507946
18,76,92.89758799985889
18,86,131.3488102496578
18,58,158.34098636607376
18,81,109.48931590155904
18,88,114.91761047048584
18,21,123.51451996928215
18,97,149.44791539529723
18,55,110.92599979294225
18,23,138.52408340518465
18,39,166.86568519458825
18,80,96.13937438708307
18,83,57.42779894096042
18,51,84.35729990977136
18,24,30.24076034685207
18,61,137.95903095328077
18,69,16.08349880837186
18,37,43.77534528139368
18,66,119.2606541214832
18,26,26.919045968563832
18,98,48.51155276078671
18,25,193.30313225452414
18,44,150.3573943325769
18,73,45.6126399506416
18,63,56.616413939225765
18,75,137.61931534807633
18,45,58.09666073584414
18,70,138.59751593781823
18,36,81.06127665085434
18,72,131.33271593215406
18,65,106.7676570457806
18,47,38.33082971487099
18,74,140.72062887706116
18,67,113.82952947259133
18,20,192.8169821286453
18,96,95.10888035373812
18,89,71.31092670661297
54,92,28.63406927515586
54,60,71.76814635554697
54,56,99.44858205740655
54,79,231.58544906150945
54,77,22.247996487668157
54,91,62.53261648405957
54,59,191.59661317218774
54,62,219.25523928589894
54,90,19.360251301398236
54,85,30.21418936079626
54,99,82.12889213810993
54,57,101.22681072603653
54,71,89.03151021700637
54,94,235.0918279396154
54,78,179.26681284796754
54,84,255.4786315894564
54,82,53.999159172338565
54,64,53.13617889127506
54,95,256.84883635061016
54,87,83.70484777977511
54,93,123.49932683098744
54,68,163.14331510444865
54,76,174.45589058098255
54,86,154.04585824919957
54,58,53.45158337184202
54,81,208.24705502703728
54,88,230.87816098375853
54,97,122.85078763870868
54,55,138.0339813011912
54,80,222.0904236820399
54,83,221.36325404667815
54,61,53.997498104474936
54,69,173.5120566426788
54,66,182.03724016641632
54,98,219.01113128249634
54,73,212.95699149415933
54,63,226.58268097078852
54,75,36.0695646753531
54,70,35.85797525791773
54,72,243.09476907867042
54,65,69.98149805130178
54,74,85.87317296988392
54,67,73.02892311795085
54,96,86.10289010765553
54,89,104.24095929918325
19,32,203.69899538636338
19,92,81.85008010403166
19,40,165.27675910805578
19,60,138.05442709100848
19,56,74.69884943023848
19,79,168.8364333654601
19,77,96.21050395709563
19,91,18.81711258768177
19,54,81.32464740148878
19,59,126.78185920802596
19,29,100.08023033435119
19,34,64.95990361314003
19,62,163.21534253722302
19,42,28.767666235368942
19,31,130.6125729195904
19,90,98.4244149747571
19,46,155.0079589167878
19,85,83.38416169401205
19,53,105.19874263040768
19,99,122.81894922125589
19,57,141.38743543684677
19,71,148.17880039834347
19,94,179.11522282891704
19,78,101.41511160607949
19,52,78.8701544723907
19,28,190.27015827464277
19,22,224.9595348740538
19,84,209.1601845132389
19,82,116.2786457094607
19,64,72.50693434382818
19,27,80.10703976493869
19,48,122.13405317234854
19,38,136.9538367827079
19,41,106.98270512903493
19,95,179.78866297009486
19,43,49.11494572340025
19,50,184.28543287955011
19,87,27.100148181241202
19,49,103.54673806573868
19,33,75.04932153395124
19,93,82.1701403113002
19,35,141.6192475843265
19,30,179.36310844241638
19,68,117.46809496082531
19,76,137.19602025249483
19,86,142.10048085065188
19,58,93.88904536711935
19,81,168.73724825430082
19,88,185.9295825962816
19,21,186.39078653955167
19,97,131.35109834591248
19,55,118.87432531489375
19,23,134.63284343964145
19,39,137.93932563540656
19,80,171.93619335043215
19,83,153.73600154893936
19,51,14.578445885763989
19,24,71.80561697591578
19,61,39.68572863551141
19,69,104.79005225451849
19,37,56.46147346604997
19,66,155.3761283638263
19,26,119.82960240847079
19,98,142.5204198127562
19,25,137.24466580170235
19,44,62.90418851728194
19,73,135.02776437407084
19,63,154.89131322295358
19,75,56.4556400980187
19,45,155.24321057282842
19,70,45.491531948907756
19,36,45.063798721131434
19,72,200.99644869949066
19,65,48.074767906461425
19,47,136.40295710042062
19,74,100.25317497456052
19,67,16.40837934456688
19,20,101.85528613176146
19,96,55.56007401253519
19,89,26.991090715390488
59,92,175.38428301046812
59,60,215.5702569835444
59,79,42.07066891110051
59,77,212.0324979172728
59,91,140.80897033200657
59,62,42.73739556331403
59,90,201.9639478866027
59,85,204.98624053297286
59,99,178.51583169152292
59,71,213.7703467577783
59,94,56.56860863430627
59,78,54.639943254541755
59,84,95.20472895845917
59,82,197.24108902891712
59,64,149.24821080567955
59,95,83.64068958883877
59,87,110.21293190194658
59,93,75.50954399744789
59,68,51.3808479224315
59,76,68.83607712376363
59,86,115.51107946749342
59,81,76.53816418727692
